speciesname,lon,lat
Microgobius gulosus,-80.732705,28.403232
Microgobius gulosus,-80.645484,28.405184
Microgobius gulosus,-80.452566,27.835377
Microgobius gulosus,-81.319715,28.835334
Microgobius gulosus,-81.0574837,29.2915826
Microgobius gulosus,-81.3833333,24.6966667
Microgobius gulosus,-80.161643,25.735877
Microgobius gulosus,-81.487222,25.956117
Microgobius gulosus,-81.3833333,24.6966667
Microgobius gulosus,-82.451823,27.722308
Microgobius gulosus,-80.54405,27.9685
Microgobius gulosus,-80.84452,28.77097
Microgobius gulosus,-83.0507611,29.2138111
Microgobius gulosus,-80.138384,26.936291
Microgobius gulosus,-80.75,25
Microgobius gulosus,-82.6511111,28.535
Microgobius gulosus,-82.6491667,28.5413889
Microgobius gulosus,-80.9222222,25.1486111
Microgobius gulosus,-82.6441667,28.5377778
Microgobius gulosus,-82.6441667,28.5377778
Microgobius gulosus,-82.6483333,28.5377778
Microgobius gulosus,-82.6511111,28.535
Microgobius gulosus,-81.605989,26.713785
Microgobius gulosus,-82.6491667,28.5413889
Microgobius gulosus,-83.053867,29.132595
Microgobius gulosus,-83.0511111,29.1325
Microgobius gulosus,-83.048636,29.135901
Microgobius gulosus,-83.050725,29.134299
Microgobius gulosus,-83.050725,29.134299
Microgobius gulosus,-83.053737,29.132279
Microgobius gulosus,-83.033579,29.142896
Microgobius gulosus,-83.05067,29.134502
Microgobius gulosus,-83.048147,29.13541
Microgobius gulosus,-83.050725,29.134299
Microgobius gulosus,-89.73333,30.16667
Microgobius gulosus,-81.948299,26.456078
Microgobius gulosus,-82.341059,27.202484
Microgobius gulosus,-81.72917,25.97222
Microgobius gulosus,-94.840166,29.500598
Microgobius gulosus,-94.840166,29.500598
Microgobius gulosus,-82.69920349,27.63610077
Microgobius gulosus,-87.219876,30.569331
Microgobius gulosus,-87.225859,30.606289
Microgobius gulosus,-87.195095,30.548903
Microgobius gulosus,-89.522054,30.213366
Microgobius gulosus,-93.246628,30.237031
Microgobius gulosus,-80.828742,25.256281
Microgobius gulosus,-82.270803,26.755661
Microgobius gulosus,-82.371091,26.958505
Microgobius gulosus,-82.371091,26.958505
Microgobius gulosus,-82.371091,26.958505
Microgobius gulosus,-82.371091,26.958505
Microgobius gulosus,-90.95444,29.41556
Microgobius gulosus,-86.993257,30.526701
Microgobius gulosus,-86.993257,30.526701
Microgobius gulosus,-86.993257,30.526701
Microgobius gulosus,-92.818102,29.728781
Microgobius gulosus,-84.67973,29.86555
Microgobius gulosus,-87.427756,30.351866
Microgobius gulosus,-84.67973,29.86555
Microgobius gulosus,-84.674083,29.851667
Microgobius gulosus,-84.67973,29.86555
Microgobius gulosus,-85.986083,30.27325
Microgobius gulosus,-83.03278,29.13445
Microgobius gulosus,-80.4174,25.2704
Microgobius gulosus,-89.94945,30.25889
Microgobius gulosus,-89.94945,30.25889
Microgobius gulosus,-89.94945,30.25889
Microgobius gulosus,-89.94945,30.25889
Microgobius gulosus,-89.85639,30.155
Microgobius gulosus,-89.0125,30.4475
Microgobius gulosus,-88.77167,30.38139
Microgobius gulosus,-86.631111,30.403167
Microgobius gulosus,-83.056639,29.135
Microgobius gulosus,-83.64325,29.87875
Microgobius gulosus,-82.6375,27.70694
Microgobius gulosus,-81.37139,25.91389
Microgobius gulosus,-82.65611,28.56722
Microgobius gulosus,-86.76444,30.40778
Microgobius gulosus,-89.85639,30.155
Microgobius gulosus,-82.64889,27.74028
Microgobius gulosus,-80.79945,25.27917
Microgobius gulosus,-81.98944,26.48917
Microgobius gulosus,-82.75222,27.83861
Microgobius gulosus,-90.23473,29.30806
Microgobius gulosus,-87.37444,30.4025
Microgobius gulosus,-87.32722,30.41833
Microgobius gulosus,-80.6664,25.0481
Microgobius gulosus,-87.37444,30.4025
Microgobius gulosus,-87.35333,30.41972
Microgobius gulosus,-89.285,30.35667
Microgobius gulosus,-88.77,30.4075
Microgobius gulosus,-88.84306,30.41222
